,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code
501,B00317,1969.0,703,2011-08-31T17:36:00,/api/v1/station/24/,Male,42945,/api/v1/trip/42945/,2011-08-31T17:24:00,/api/v1/station/23/,Closed,Registered,02116
502,B00409,1978.0,1472,2011-08-31T17:49:00,/api/v1/station/41/,Male,42944,/api/v1/trip/42944/,2011-08-31T17:24:00,/api/v1/station/24/,Closed,Registered,02135
503,B00346,1970.0,262,2011-08-31T17:28:00,/api/v1/station/25/,Female,42943,/api/v1/trip/42943/,2011-08-31T17:24:00,/api/v1/station/21/,Closed,Registered,02144
504,B00012,1985.0,569,2011-08-31T17:33:00,/api/v1/station/41/,Female,42941,/api/v1/trip/42941/,2011-08-31T17:24:00,/api/v1/station/33/,Closed,Registered,02134
505,B00221,1982.0,458,2011-08-31T17:31:00,/api/v1/station/56/,Male,42940,/api/v1/trip/42940/,2011-08-31T17:24:00,/api/v1/station/55/,Closed,Registered,02215
506,B00260,1986.0,700,2011-08-31T17:35:00,/api/v1/station/3/,Male,42939,/api/v1/trip/42939/,2011-08-31T17:24:00,/api/v1/station/36/,Closed,Registered,02215
507,B00074,1978.0,468,2011-08-31T17:31:00,/api/v1/station/38/,Male,42937,/api/v1/trip/42937/,2011-08-31T17:23:00,/api/v1/station/43/,Closed,Registered,01890
508,B00076,1966.0,303,2011-08-31T17:28:00,/api/v1/station/40/,Male,42936,/api/v1/trip/42936/,2011-08-31T17:23:00,/api/v1/station/44/,Closed,Registered,02109
509,B00331,1982.0,1157,2011-08-31T17:42:00,/api/v1/station/33/,Male,42934,/api/v1/trip/42934/,2011-08-31T17:23:00,/api/v1/station/38/,Closed,Registered,02446
510,B00094,,587,2011-08-31T17:33:00,/api/v1/station/9/,,42933,/api/v1/trip/42933/,2011-08-31T17:23:00,/api/v1/station/56/,Closed,Casual,
511,B00407,1970.0,640,2011-08-31T17:33:00,/api/v1/station/38/,Male,42932,/api/v1/trip/42932/,2011-08-31T17:22:00,/api/v1/station/22/,Closed,Registered,01890
512,B00184,1978.0,534,2011-08-31T17:30:00,/api/v1/station/12/,Female,42931,/api/v1/trip/42931/,2011-08-31T17:21:00,/api/v1/station/16/,Closed,Registered,02119
513,B00568,1978.0,450,2011-08-31T17:28:00,/api/v1/station/4/,Male,42930,/api/v1/trip/42930/,2011-08-31T17:21:00,/api/v1/station/23/,Closed,Registered,02118
514,B00395,1989.0,654,2011-08-31T17:32:00,/api/v1/station/27/,Male,42929,/api/v1/trip/42929/,2011-08-31T17:21:00,/api/v1/station/42/,Closed,Registered,02120
515,B00541,1972.0,333,2011-08-31T17:26:00,/api/v1/station/36/,Male,42928,/api/v1/trip/42928/,2011-08-31T17:21:00,/api/v1/station/52/,Closed,Registered,60084
516,B00231,,537,2011-08-31T17:30:00,/api/v1/station/31/,,42927,/api/v1/trip/42927/,2011-08-31T17:21:00,/api/v1/station/42/,Closed,Casual,
517,B00072,,1096,2011-08-31T17:40:00,/api/v1/station/23/,,42926,/api/v1/trip/42926/,2011-08-31T17:21:00,/api/v1/station/21/,Closed,Casual,
518,B00318,1984.0,1638,2011-08-31T17:48:00,/api/v1/station/8/,Male,42925,/api/v1/trip/42925/,2011-08-31T17:20:00,/api/v1/station/23/,Closed,Registered,02135
519,B00361,,358,2011-08-31T17:27:00,/api/v1/station/36/,,42924,/api/v1/trip/42924/,2011-08-31T17:21:00,/api/v1/station/52/,Closed,Casual,
520,B00265,1976.0,1201,2011-08-31T17:40:00,/api/v1/station/14/,Male,42923,/api/v1/trip/42923/,2011-08-31T17:20:00,/api/v1/station/22/,Closed,Registered,02115
521,B00058,1946.0,445,2011-08-31T17:27:00,/api/v1/station/23/,Male,42922,/api/v1/trip/42922/,2011-08-31T17:19:00,/api/v1/station/43/,Closed,Registered,02116
522,B00540,1957.0,727,2011-08-31T17:31:00,/api/v1/station/27/,Male,42921,/api/v1/trip/42921/,2011-08-31T17:19:00,/api/v1/station/11/,Closed,Registered,02121
523,B00415,1953.0,277,2011-08-31T17:23:00,/api/v1/station/45/,Male,42920,/api/v1/trip/42920/,2011-08-31T17:18:00,/api/v1/station/11/,Closed,Registered,02186
524,B00490,1978.0,938,2011-08-31T17:34:00,/api/v1/station/16/,Female,42919,/api/v1/trip/42919/,2011-08-31T17:18:00,/api/v1/station/14/,Closed,Registered,02115
525,B00099,1968.0,942,2011-08-31T17:33:00,/api/v1/station/16/,Male,42918,/api/v1/trip/42918/,2011-08-31T17:18:00,/api/v1/station/14/,Closed,Registered,02021
526,B00517,1983.0,345,2011-08-31T17:23:00,/api/v1/station/42/,Male,42917,/api/v1/trip/42917/,2011-08-31T17:17:00,/api/v1/station/22/,Closed,Registered,02113
